"ID","survey","country","year","field_latitude","field_longitude","plant_date","harvest_date","gs_length","yield_kg_ph","hybrid","intercrop","esa_avg","chirps_sum","era_temp_mean_avg","era_temp_min_avg","era_temp_max_avg","kdd_event","kdd_result","N_kg_ph"
"ID_00094","Burundi_2017","Burundi",2017,-3.068190098,29.60633278,"2016-10-14","2017-02-11",120,1091.2,0,1,0.341563171053186,564.061885356903,18.1180438465542,13.855531056722,23.0574645996094,0,0,10.41666642
"ID_00095","Burundi_2017","Burundi",2017,-3.340375185,29.68231964,"2016-10-05","2017-02-08",126,1022.9999,0,1,0.379593571875154,632.550495624542,19.488776577339,15.6856655060299,24.0103325737847,0,0,28.1249964
"ID_00096","Burundi_2017","Burundi",2017,-3.245117903,29.96881104,"2016-11-30","2017-04-05",126,1307.9591,0,1,0.330181558137742,599.223658084869,19.2267911618349,15.0282643151662,23.9748275514633,0,0,9.89011026
"ID_00097","Burundi_2017","Burundi",2017,-3.24832201,29.87046623,"2016-10-11","2017-02-24",136,2070.5999,0,1,0.310507590158118,649.511241674423,19.5991327080072,15.3361782298369,24.1808087517233,0,0,6.9230772
"ID_00098","Burundi_2017","Burundi",2017,-3.320440769,29.63957405,"2016-09-02","2017-02-17",168,3546.4001,0,1,0.361580366798497,808.23529958725,18.1424246333894,13.6738098507836,23.1414544968378,0,0,11.11111092
"ID_00099","Burundi_2017","Burundi",2017,-3.247200966,29.83242798,"2016-10-05","2017-02-17",135,1971.9999,0,1,0.309239921608457,598.416000843048,20.4223243148239,16.1799370659722,24.9505533854167,0,0,8.03571426
"ID_00100","Burundi_2017","Burundi",2017,-3.241783381,29.9808197,"2016-11-10","2017-03-15",125,2662.2,0,1,0.324572683111125,580.31829214096,19.186277903239,14.9741865234375,23.954240234375,0,0,19.9999998
"ID_00101","Burundi_2017","Burundi",2017,-3.055907011,29.6130085,"2016-10-06","2017-02-06",123,3341.7998,0,1,0.3425912090038,567.799372196198,18.1414725512993,13.8316371018324,23.125299320376,0,0,0
"ID_00102","Burundi_2017","Burundi",2017,-3.28904295,29.67518997,"2016-10-18","2017-03-06",139,1391.8367,0,1,0.384861199185252,694.272866368294,19.3658752057192,15.6374687798589,23.8306092625899,0,0,4.23529398
"ID_00103","Burundi_2017","Burundi",2017,-3.249948263,29.77866364,"2016-10-27","2017-02-24",120,1479.1837,0,1,0.319062688825082,582.396708488464,20.1248277346293,15.8984537760417,24.6275349934896,0,0,13.8461544
"ID_00104","Burundi_2017","Burundi",2017,-3.355955124,29.75676346,"2016-09-20","2017-02-08",141,2333.6082,0,1,0.304287307910503,590.504628658295,20.2028155153243,16.1103638561059,24.5998008782137,0,0,6.00000048
"ID_00105","Burundi_2017","Burundi",2017,-3.524535418,29.7361412,"2016-10-15","2017-02-17",125,1676.2,0,1,0.395089669047662,658.336366176606,19.54325877889,15.8878352050781,23.751154296875,0,0,0.997229862
"ID_00106","Burundi_2017","Burundi",2017,-3.205096483,29.76258087,"2016-09-10","2017-01-28",140,1848.9796,0,1,0.296778246187247,585.247573137284,20.6609800066267,16.4014439174107,25.2482700892857,0,0,2.97619074
"ID_00107","Burundi_2017","Burundi",2017,-3.345239878,29.74524879,"2016-10-01","2017-02-06",128,2776.8696,0,1,0.379429422500657,611.872858524323,19.466112858057,15.6969059467316,23.9978443145752,0,0,29.9999988
"ID_00108","Burundi_2017","Burundi",2017,-3.214955091,29.98163223,"2016-11-25","2017-04-05",131,640.89996,0,0,0.329771233437298,625.009777545929,19.2223459704839,15.0264456479604,23.9741557579914,0,0,5.00000022
"ID_00110","Burundi_2017","Burundi",2017,-3.339745045,29.59023857,"2016-09-19","2017-02-10",144,3205.4001,0,1,0.373188193126391,734.713386058807,17.9885142626586,13.5768551720513,22.9616672092014,0,0,6.559767
"ID_00112","Burundi_2017","Burundi",2017,-3.134936333,29.73654175,"2016-09-28","2017-02-27",152,2797.2,1,0,0.345404411479831,701.01289319992,20.0535697050262,16.1858411287007,24.6771869860197,0,0,7.2
"ID_00113","Burundi_2017","Burundi",2017,-3.255621672,29.60306168,"2016-09-21","2017-02-02",134,838.70337,0,1,0.372080774534316,661.043632030487,17.994698944851,13.5985424440299,22.9670089493937,0,0,8.65384614
"ID_00114","Burundi_2017","Burundi",2017,-3.46286273,29.73239708,"2016-10-08","2017-03-08",151,2829.6001,1,0,0.383626923688407,785.741902589798,19.5368653202689,15.8426105019273,23.8066205763659,0,0,27.9503118
"ID_00115","Burundi_2017","Burundi",2017,-3.21568656,29.72249603,"2016-09-28","2017-02-20",145,2532.6001,1,1,0.342925743183546,700.158012866974,19.8843469992451,16.0717607169316,24.524462890625,0,0,8.12030076
"ID_00116","Burundi_2017","Burundi",2017,-3.211589813,29.75675964,"2016-09-28","2017-02-02",127,2536.8,0,1,0.30776928106741,544.731328010559,20.3962809084595,16.2171432855561,24.9679948941929,0,0,3.20855652
"ID_00117","Burundi_2017","Burundi",2017,-3.275185823,29.86944771,"2016-10-10","2017-02-20",133,4024.4895,0,1,0.307855008376969,591.684864878655,19.6178868860231,15.3405110983024,24.1288801838581,0,0,29.9999988
"ID_00118","Burundi_2017","Burundi",2017,-3.088689566,29.64425087,"2016-10-05","2017-01-28",115,1984,1,1,0.340597646846168,525.73848772049,18.1634303880775,13.8617463485054,23.13994140625,0,0,19.1387556
"ID_00119","Burundi_2017","Burundi",2017,-3.211022854,29.75375366,"2016-09-29","2017-02-02",126,3035.1001,0,1,0.308240733349446,544.731328010559,20.3957554569951,16.208158172123,24.9669162326389,0,0,10.10100996
"ID_00120","Burundi_2017","Burundi",2017,-3.265513897,29.65733337,"2016-10-06","2017-02-27",144,3720,1,1,0.380872678942978,701.064296841622,19.4726105778306,15.6945885976156,23.9704427083333,0,0,29.0909106
"ID_00121","Burundi_2017","Burundi",2017,-3.248392582,29.87051773,"2016-10-09","2017-03-09",151,4225.7144,0,1,0.313835040107369,708.406744241715,19.5905836008506,15.3282997788183,24.187392642798,0,0,14.99999904
"ID_00122","Burundi_2017","Burundi",2017,-3.254746437,29.60413551,"2016-09-29","2017-02-11",135,1500.4,0,0,0.379805419255387,656.090230941772,17.956711295799,13.5574031123409,22.9309407552083,0,0,27
"ID_00123","Burundi_2017","Burundi",2017,-3.335196257,29.68807411,"2016-10-10","2017-01-28",110,1909.5999,0,1,0.375103965839919,525.242326259613,19.5265700831558,15.6874733664773,24.0238414417614,0,0,25.714287
"ID_00124","Burundi_2017","Burundi",2017,-3.27371645,29.63486671,"2016-10-08","2017-02-06",121,1227.6,0,1,0.378680616999284,588.902803897858,17.9708023512659,13.4918570526375,22.9562637202996,0,0,0
"ID_00125","Burundi_2017","Burundi",2017,-3.112356186,29.65646935,"2016-10-14","2017-01-18",96,417.55099,0,1,0.338640912947521,436.463306903839,20.0518887201945,16.1287144978841,24.6189030965169,0,0,0
"ID_00126","Burundi_2017","Burundi",2017,-3.250291824,29.73731995,"2016-10-14","2017-02-08",117,1449.6,0,1,0.379714504668587,536.165893316269,19.4561256060913,15.6649823571882,23.9472263955662,0,0,8.27205894
"ID_00127","Burundi_2017","Burundi",2017,-3.086362123,29.63199043,"2016-09-16","2017-01-14",120,1364,0,1,0.335176581281355,589.464442014694,18.0990830315484,13.819932047526,23.1091776529948,0,0,12.38390028
"ID_00128","Burundi_2017","Burundi",2017,-3.249578714,29.77862167,"2016-10-27","2017-03-06",130,1041.9,0,1,0.321533807043759,614.734473347664,20.1134868817452,15.9079740084135,24.6238713191106,0,0,12.00000096
"ID_00129","Burundi_2017","Burundi",2017,-3.18486166,29.73510933,"2016-09-29","2017-01-27",120,2446.2,0,1,0.341212919851144,529.570446491241,19.8983443366157,16.0468933105469,24.5622619628906,0,0,3.50877186
"ID_00130","Burundi_2017","Burundi",2017,-3.414610624,29.72908401,"2016-10-05","2017-02-23",141,2286.0889,0,1,0.379995290586289,728.714331388474,19.4773706945686,15.7751157070728,23.8090917276153,0,0,18.4426218
"ID_00131","Burundi_2017","Burundi",2017,-3.523045063,29.73352623,"2016-10-15","2017-02-17",125,1479,0,1,0.395089669047662,658.336366176606,19.54325877889,15.8878352050781,23.751154296875,0,0,3.33333324
"ID_00132","Burundi_2017","Burundi",2017,-3.248931408,29.60625648,"2016-09-28","2017-02-11",136,3000.8,0,1,0.342824862391319,672.732203483582,18.4049606528937,14.0412134955911,23.539453125,0,0,22.7368404
"ID_00133","Burundi_2017","Burundi",2017,-3.352087975,29.81789207,"2016-09-23","2017-02-02",132,2287.1567,0,1,0.306052672175261,581.220304965973,20.177097728999,16.1234874378551,24.5633067737926,0,0,8.20793448
