"RMSE","R2","cluster","r.e.","model"
1435.12159147504,0.0762748335145919,"Cluster 2","survey","ENV"
1449.31404995835,0.0796042671522251,"Cluster 2","survey","ENV"
1440.2779798658,0.0890401619132798,"Cluster 2","survey","ENV"
1447.81693225523,0.0826725277374178,"Cluster 2","survey","ENV"
1450.75607525465,0.0916100923622003,"Cluster 2","survey","ENV"
1446.43091142879,0.0802291901225389,"Cluster 2","survey","ENV"
1461.03839959509,0.0868772295332216,"Cluster 2","survey","ENV"
1457.69204971857,0.0801100207883768,"Cluster 2","survey","ENV"
1425.9500659414,0.0944024075635879,"Cluster 2","survey","ENV"
1449.95834373323,0.0837917230554577,"Cluster 2","survey","ENV"
1445.00992072222,0.071073345181421,"Cluster 2","survey","ENV"
1448.7216857443,0.076722686778811,"Cluster 2","survey","ENV"
1444.48503350963,0.0809619457232767,"Cluster 2","survey","ENV"
1457.82389986798,0.0776011358582756,"Cluster 2","survey","ENV"
1447.84435683643,0.0672895692638514,"Cluster 2","survey","ENV"
1455.94327654801,0.0742332388650374,"Cluster 2","survey","ENV"
1440.71282532906,0.0765850391491719,"Cluster 2","survey","ENV"
1458.82414056208,0.0727759347284845,"Cluster 2","survey","ENV"
1440.61020340857,0.077571236242224,"Cluster 2","survey","ENV"
1449.72904886705,0.0781053307739497,"Cluster 2","survey","ENV"
1451.60430987063,0.0837026753551332,"Cluster 2","survey","ENV"
1441.72170249695,0.089133249399518,"Cluster 2","survey","ENV"
1434.50993204076,0.075361259044984,"Cluster 2","survey","ENV"
1440.12078528096,0.0864789740434242,"Cluster 2","survey","ENV"
1443.4922101099,0.0935040666187604,"Cluster 2","survey","ENV"
1453.72714373023,0.0776095922615228,"Cluster 2","survey","ENV"
1468.20125103435,0.0682463817216948,"Cluster 2","survey","ENV"
1441.48280977181,0.0892984212476437,"Cluster 2","survey","ENV"
1449.34337471159,0.0748464157267638,"Cluster 2","survey","ENV"
1441.10539455863,0.0896094811865113,"Cluster 2","survey","ENV"
1449.61985168965,0.0896903966905666,"Cluster 2","survey","ENV"
1470.36225138862,0.0797260171993635,"Cluster 2","survey","ENV"
1446.44070501128,0.0794166184348663,"Cluster 2","survey","ENV"
1460.07981474658,0.0843884036849676,"Cluster 2","survey","ENV"
1425.71265440848,0.086234153881708,"Cluster 2","survey","ENV"
1454.90174122436,0.0762698654573598,"Cluster 2","survey","ENV"
1462.67303795286,0.0864563980352259,"Cluster 2","survey","ENV"
1418.40665949561,0.0894421078682842,"Cluster 2","survey","ENV"
1447.57486307024,0.0808876549193275,"Cluster 2","survey","ENV"
1447.30834087047,0.0739667286552229,"Cluster 2","survey","ENV"
1441.14711354899,0.0975405352701511,"Cluster 2","survey","ENV"
1438.18802600752,0.0738400753676627,"Cluster 2","survey","ENV"
1435.64217500113,0.0866182191873432,"Cluster 2","survey","ENV"
1435.0689334737,0.0867857464700286,"Cluster 2","survey","ENV"
1425.45127197957,0.0829837965191881,"Cluster 2","survey","ENV"
1431.49593275037,0.0707082459265203,"Cluster 2","survey","ENV"
1464.94452257913,0.0797729807789621,"Cluster 2","survey","ENV"
1455.22935633853,0.0882013517071894,"Cluster 2","survey","ENV"
1447.82961233879,0.076107903439556,"Cluster 2","survey","ENV"
1447.95292467963,0.0763226555423034,"Cluster 2","survey","ENV"
1460.73847386061,0.0889238817669805,"Cluster 2","survey","ENV"
1460.16921448031,0.0826289347516589,"Cluster 2","survey","ENV"
1448.64930703815,0.0811805686525688,"Cluster 2","survey","ENV"
1429.71331363962,0.0882085538195468,"Cluster 2","survey","ENV"
1448.56272981826,0.0890170005326678,"Cluster 2","survey","ENV"
1443.77430167636,0.0770319122819142,"Cluster 2","survey","ENV"
1450.58270986379,0.0817526155734357,"Cluster 2","survey","ENV"
1434.44393118154,0.0672492937559706,"Cluster 2","survey","ENV"
1449.63361059133,0.0790445721407695,"Cluster 2","survey","ENV"
1435.47736183981,0.0849248605571668,"Cluster 2","survey","ENV"
1435.3565061265,0.0710433301977493,"Cluster 2","survey","ENV"
1447.43902034112,0.0751300162854548,"Cluster 2","survey","ENV"
1441.74289322893,0.0764932184687852,"Cluster 2","survey","ENV"
1451.46277312326,0.0787270271781744,"Cluster 2","survey","ENV"
1455.15419550844,0.0788376747733105,"Cluster 2","survey","ENV"
1451.52953998505,0.083712398660545,"Cluster 2","survey","ENV"
1452.95238003865,0.0861936326328061,"Cluster 2","survey","ENV"
1444.89591950254,0.0902732497286809,"Cluster 2","survey","ENV"
1449.25876876936,0.0795421497835305,"Cluster 2","survey","ENV"
1465.9090618873,0.0682108388213122,"Cluster 2","survey","ENV"
1446.47455410608,0.0866263465956806,"Cluster 2","survey","ENV"
1455.17575079272,0.0781022086874718,"Cluster 2","survey","ENV"
1427.93875204196,0.0874452566573168,"Cluster 2","survey","ENV"
1458.17247699515,0.0804473999739264,"Cluster 2","survey","ENV"
1447.388935989,0.0729055458251504,"Cluster 2","survey","ENV"
1450.75987675684,0.0855659590710167,"Cluster 2","survey","ENV"
1445.79679337879,0.0823604253496585,"Cluster 2","survey","ENV"
1451.24263318415,0.0903689533695829,"Cluster 2","survey","ENV"
1443.23638874606,0.0730841867502786,"Cluster 2","survey","ENV"
1438.7116992419,0.0781207263057477,"Cluster 2","survey","ENV"
1464.69413065362,0.0631600340935477,"Cluster 2","survey","ENV"
1455.01839111893,0.0749659408124897,"Cluster 2","survey","ENV"
1458.28442453247,0.0792922924023634,"Cluster 2","survey","ENV"
1442.12297825504,0.0778345210127544,"Cluster 2","survey","ENV"
1688.73851801676,0.276869760565034,"Cluster 1","no random effect","MGMT"
